bin,sample,rr_smoothed_ms,signed_resid_ms,abs_resid_ms,qt_sigma_ms,heart_rate_bpm,case,st_deviation_uv,time_h
2709,6774947.0,730.8008914648871,-12.678010765402519,12.678010765402519,31.647765765417017,82.10170608813883,A,,9.777777777777777e-05
2710,6776275.0,702.6792866622887,-1.6607522274086932,16.001314855768385,32.81613633378517,85.38746073617551,A,-77.2735,0.0015733333333333333
2711,6778708.0,668.9668123789062,-2.8875252678740253,3.96625034415149,32.54453927962956,89.69054800586385,A,-88.3455,0.0042766666666666665
2712,6781218.0,669.3016479458217,-3.9995842083405932,7.095236115682553,31.954149633081194,89.6456779751674,A,-79.0105,0.007065555555555556
2713,6783610.0,664.620760412193,-7.408053689110687,10.05272853544335,32.06891066069796,90.27704756437105,A,-77.629,0.009723333333333332
2714,6786208.0,703.7753260228184,-10.019226224961642,10.287912777323129,31.906249057144425,85.25448077168683,A,-77.2975,0.01261
2715,6788765.0,689.0014682806263,0.08485435133059127,6.267479454967713,32.10807988371503,87.08254301653004,A,-77.966,0.015451111111111112
2716,6791250.5,656.6969537280886,8.244845036981417,8.244845036981417,32.441536766785696,91.36634433794488,A,-108.68449999999999,0.01821277777777778
2717,6793705.5,630.3657883809826,7.69938524488353,7.69938524488353,32.040642270340506,95.18283051829741,A,-119.353,0.020940555555555556
2718,6796041.5,626.740334252811,-4.547197213360306,10.788463313356687,32.45927171579628,95.73342694072971,A,-94.3215,0.023536111111111112
2719,6798861.0,929.9291197689444,-12.58896142204398,13.908583262201574,33.358430642719995,64.52104652331776,A,-75.99000000000001,0.026668888888888888
2720,6801242.0,839.0599913104497,-27.02528155276451,27.02528155276451,32.88645598020656,71.5085936898166,A,-69.2085,0.029314444444444445
2721,6803714.0,727.6133150814092,-18.337848987749226,18.337848987749226,32.402126666778834,82.46138265527327,A,-67.6695,0.03206111111111111
2722,6806162.5,699.3769168433789,-4.418594348299791,5.959146867971469,32.87743788163539,85.79064958393047,A,-65.8455,0.03478166666666667
2723,6808736.0,788.0994011565915,-36.553942893331566,36.553942893331566,32.63722721968641,76.1325283485126,A,-52.614000000000004,0.03764111111111111
2724,6811230.0,799.8103084638635,-15.043062046615034,16.336998341487117,32.92676741875347,75.0177877992565,A,-57.6325,0.040412222222222224
2725,6813746.0,716.6445670298905,-17.960766767766643,17.960766767766643,32.89614086467466,83.7235119895878,A,-61.901,0.043207777777777776
2726,6816146.0,687.4447644929858,-13.519192318843466,13.519192318843466,32.819276173966806,87.2797395500598,A,-43.869499999999995,0.04587444444444444
2727,6818843.0,794.1012683022138,-32.98606969904131,32.98606969904131,32.66577301899718,75.55711392865526,A,-41.388,0.048871111111111115
2728,6821208.0,734.4607222323768,-28.45413887081554,28.45413887081554,32.10322967638664,81.69259183477007,A,-55.8065,0.051498888888888886
2729,6823746.0,683.9477653304646,-15.659860198123539,15.659860198123539,32.97894777907287,87.72599757089588,A,-72.225,0.05431888888888889
2730,6826222.0,654.1200491205534,-1.2823824731046898,5.914658166028971,33.07095003943736,91.72628186625431,A,-79.1435,0.05707
2731,6828726.0,648.920713750379,-1.4611965019041975,3.790328012715861,33.08526798372564,92.46121864909409,A,-67.812,0.059852222222222216
2732,6831199.0,671.6858055245486,-14.688882341292839,14.688882341292839,32.92109576675618,89.32747946511002,A,-55.8805,0.0626
2733,6833621.5,696.5461110086537,0.17837148752636267,7.783305694771542,33.201086186100696,86.13930801094455,A,-48.899,0.06529166666666666
2734,6836289.5,750.2878638587395,-6.615844894303194,6.615844894303194,32.605196368503066,79.9693063025427,A,-44.7175,0.06825611111111111
2735,6838716.0,830.4449590947389,-24.410903226120126,24.410903226120126,32.54556135335675,72.25042351440786,A,-39.3865,0.07095222222222222
2736,6841257.0,843.8433865622885,-34.920169192415926,34.920169192415926,32.522569607479255,71.10324137803867,A,-41.254999999999995,0.07377555555555555
2737,6843785.0,764.7762251455117,-26.458904308608282,26.458904308608282,32.57885352481449,78.45432170512882,A,-39.7735,0.07658444444444444
2738,6846236.0,709.728230791023,-17.385471121015428,17.385471121015428,32.30177897346344,84.53940169905232,A,-37.292,0.07930777777777777
2739,6848697.0,688.9120363939433,-15.886215071275103,15.886215071275103,32.39507112178518,87.09384773427004,A,-45.0105,0.08204222222222221
2740,6851099.0,676.7641959199079,-15.177068235616673,15.177068235616673,32.46326405366713,88.65717241208891,A,-58.32900000000001,0.08471111111111111
2741,6853693.0,711.589955334982,-17.477416982057377,17.477416982057377,32.8882177759236,84.3182222432509,A,-65.7475,0.08759333333333334
2742,6856300.0,700.0681647002754,-12.159868770772448,12.159868770772448,32.70202021111111,85.70593982899963,A,-57.416,0.09049
2743,6858759.0,672.0043773510953,-11.560628982110075,11.560628982110075,32.59852524398279,89.28513268992057,A,-52.2305,0.09322222222222223
2744,6861273.0,657.2047121954377,-4.735369530308844,8.81182836476421,32.769109850621476,91.2957544074294,A,-55.753,0.09601555555555556
2745,6863808.0,641.9333957789195,10.153128330650873,10.153128330650873,32.444989077777535,93.46764071558582,A,-88.02149999999999,0.09883222222222222
2746,6866257.0,609.8186074032336,7.268406825759087,7.268406825759087,31.987538003524282,98.3899134457304,A,-120.936,0.10155333333333333
2747,6868716.0,602.8285350746298,15.515746657012699,15.515746657012699,31.974743583539947,99.53078945171704,A,-110.5085,0.10428555555555555
2748,6871228.0,619.1282578019438,7.360576720950689,14.261172637825723,32.33000379985115,96.91045311518266,A,-87.477,0.10707666666666667
2749,6873763.0,642.0043026026736,4.102460999909113,7.196898056522343,32.75116551626652,93.45731758613003,A,-78.69550000000001,0.10989333333333333
2750,6876209.5,638.164272262899,-10.379084504100064,10.379084504100064,33.09709194424306,94.01967895702303,A,-77.4065,0.11261166666666667
2751,6878667.0,637.5197530288431,-12.526976353217435,12.576359018072765,32.85145647448819,94.11473090040151,A,-71.4825,0.11534222222222223
2752,6881291.0,751.948313931566,-20.951367455758486,21.631466105652635,32.22508657505294,79.79271831369587,A,-66.3935,0.11825777777777778
2753,6883703.0,798.7555979553305,-24.2511093064831,24.2511093064831,33.43196163666099,75.1168444435183,A,-62.1195,0.12093777777777777
2754,6886165.5,788.253649799196,-5.964586465909576,9.081018090456695,32.87732240740479,76.11763042934813,A,-58.888,0.12367388888888889
2755,6888587.0,774.1916690314226,-30.2089045057852,30.2089045057852,32.923269517443856,77.50018813179032,A,-46.0565,0.12636444444444445
2756,6891225.0,836.7187197003411,1.1627552177299378,11.31091608055928,33.192063143744,71.70868607013854,A,-48.175,0.12929555555555555
2757,6893724.0,798.9957988647836,-31.348017935261907,31.348017935261907,31.90035794569574,75.09426217916068,A,-49.743500000000004,0.13207222222222223
2758,6896255.0,717.8868899534417,-22.237482887553966,22.237482887553966,32.212751814422006,83.57862615918683,A,-50.662000000000006,0.13488444444444445
2759,6898666.5,684.9235036376308,-25.2823413382429,25.2823413382429,32.67157126600618,87.60102359072191,A,-58.3305,0.1375638888888889
2760,6901222.0,682.7991953147,-19.922066804639996,19.922066804639996,32.78566960366781,87.87356577411634,A,-62.0565,0.14040333333333332
2761,6903775.0,654.4111969662688,-22.645134308060733,22.645134308060733,33.086787947118054,91.68547280081557,A,-62.7675,0.14324
2762,6906246.5,629.85929385784,-11.809046663568665,11.809046663568665,32.4522077070843,95.25937075962567,A,-78.836,0.1459861111111111
2763,6908675.0,618.6618119763455,4.151407835129504,12.135819467560623,32.977309831378456,96.98351965240437,A,-97.6045,0.14868444444444445
2764,6911272.0,633.8196459660942,12.286459039537988,12.286459039537988,32.50264915291605,94.664153094443,A,-107.6695,0.15157
2765,6913738.0,611.0678556501983,6.888902113659924,6.888902113659924,32.178454378481064,98.1887681461461,A,-111.9415,0.15431
2766,6916154.0,596.9787526398654,-0.5549841492032215,6.211038189640874,32.65954375534486,100.5060895964512,A,-116.01,0.15699444444444444
2767,6918546.0,684.794808106735,-10.748433755052645,10.748433755052645,32.464968805023496,87.61748671238195,A,-80.72850000000001,0.15965222222222222
2768,6921267.0,887.665467897431,-20.185910850075828,20.185910850075828,32.84964464575656,67.59303157541885,A,-48.047000000000004,0.16267555555555555
2769,6923851.0,910.5631263736542,-38.627181345948,38.627181345948,33.29200877472817,65.89328983587536,A,-49.1155,0.16554666666666665
2770,6926312.0,867.6866756722048,-36.05007752724657,36.05007752724657,32.250640659249505,69.14938500526985,A,-60.184,0.1682811111111111
2771,6928722.0,812.4966011312547,-33.756448326111354,33.756448326111354,32.79778692932298,73.8464627623806,A,-80.20250000000001,0.17095888888888888
2772,6931308.0,718.9595277848221,-27.336393082300276,27.336393082300276,32.31789076420638,83.45393263632698,A,-134.421,0.17383222222222225
2773,6933714.0,624.2856245943569,-3.457712370820502,6.398696426161337,31.772796489905776,96.10985362507154,A,-158.082,0.17650555555555555
2774,6936216.0,602.9912867944598,3.6200966879616203,6.94564354984675,32.02186367289228,99.50392537007264,A,-139.808,0.17928555555555556
2775,6938735.0,584.8036857092657,-1.8585325053960275,6.927652329456976,32.09876476424018,102.59853257804006,A,-135.484,0.18208444444444444
2776,6941296.0,587.2872619777048,20.002404365573057,20.002404365573057,31.872922383055634,102.16465413867222,A,-131.945,0.18493
2777,6943744.5,591.2698785001216,10.587735915772697,10.587735915772697,32.16479023765973,101.47650367747873,A,-124.8135,0.18765055555555557
2778,6946136.0,595.5643221790092,-6.824587668080227,7.725766642760448,32.58785292327471,100.74478568574455,A,-101.682,0.19030777777777777
2779,6948886.0,749.432537976917,-15.236097671353548,15.389100687761356,32.1614844186247,80.06057511456493,A,-79.8505,0.19336333333333333
2780,6951029.0,731.0364274771075,-20.812791373826258,20.812791373826258,32.647025861766885,82.07525335921636,A,-76.01899999999999,0.19574444444444444
2781,6953651.0,854.8151281400994,-31.47215777960247,31.47215777960247,32.10553440292771,70.19061552004533,A,-77.2875,0.19865777777777777
2782,6956178.0,852.8264400733453,-40.38519879996508,40.38519879996508,32.35345570696018,70.35429154241494,A,-91.756,0.20146555555555554
2783,6958820.0,813.4666495189094,-32.08420311538816,32.08420311538816,32.41762341360353,73.7584018170683,A,-88.52499999999999,0.20440111111111112
2784,6961087.0,842.4036397139614,-25.975310854356167,25.975310854356167,32.96411842961014,71.22476348793202,A,-68.04350000000001,0.20692000000000002
2785,6963816.0,924.402778891483,-26.361775990650187,26.361775990650187,33.15728493485392,64.90677156114812,A,-56.75449999999999,0.2099522222222222
2786,6966298.0,837.8257167249814,-18.637147167357398,18.637147167357398,32.781590042103566,71.6139392743123,A,-72.7805,0.21270999999999998
2787,6968737.0,763.323510160172,-24.021786083768916,24.021786083768916,32.6348673186909,78.60363162063474,A,-81.8025,0.21541999999999997
2788,6971181.0,728.5514553207246,-13.82620676428894,13.82620676428894,32.84125224061787,82.35519888377227,A,-71.2175,0.21813555555555555
2789,6973829.5,742.3835901292118,-7.787808465397177,7.787808465397177,32.77217865810405,80.82075196403116,A,-74.236,0.22107833333333332
2790,6976263.0,711.4124409872538,-21.580647183421092,21.580647183421092,32.19935600618831,84.33926164790672,A,-92.3545,0.22378222222222222
2791,6978701.0,685.121451086721,-12.35682276689164,12.35682276689164,32.551504623721954,87.5757136268754,A,-99.47649999999999,0.22649111111111112
2792,6981229.0,663.5492196020452,-9.208511528036126,9.208511528036126,33.01169202294652,90.4228325910536,A,-93.7415,0.2293
2793,6983748.5,644.7643523694027,-10.858382262257152,10.858382262257152,33.20611943094586,93.05725383158962,A,-97.31,0.23209944444444444
2794,6986314.0,671.2038642857748,1.8804382309962193,5.6390300674285925,32.94200450936025,89.3916188397481,A,-105.42450000000001,0.23495000000000002
2795,6988714.0,669.2034567946487,-11.107336148261993,12.791276526136755,32.881570090651536,89.65883154188721,A,-99.297,0.23761666666666664
2796,6991247.0,684.7720486443666,-10.069207739762305,10.069207739762305,33.00654482296418,87.62039881560753,A,-89.4655,0.24043111111111112
2797,6993789.0,695.6509217422218,-6.392342145813814,6.392342145813814,33.2443428141559,86.25015524989617,A,-80.23400000000001,0.24325555555555556
2798,6996226.0,687.8003230306326,-11.18730641148511,16.565917219122554,33.040186276388404,87.23462026831263,A,-72.4525,0.2459633333333333
2799,6998820.0,718.3340266791338,-10.499747573461292,10.958437345064823,33.14632851264401,83.52660151347789,A,-75.721,0.24884555555555557
2800,7001126.0,684.8960143418617,-16.377860088905663,16.377860088905663,32.77578236082434,87.60453958497028,A,-75.0895,0.2514077777777778
2801,7003777.0,750.7815819600726,-15.198651474723363,15.198651474723363,32.497624185418736,79.91671804648888,A,-69.258,0.2543533333333333
2802,7006333.5,763.969606772547,-22.00750473620451,22.00750473620451,32.737192976101746,78.53715575607121,A,-65.9265,0.2571938888888889
2803,7008808.0,715.3873049618174,-19.521366011479813,19.521366011479813,32.286184522120685,83.87065241981391,A,-65.7985,0.25994333333333336
2804,7011251.0,690.8116647952788,-5.960985819226323,6.215664315131704,32.45999546935879,86.85435272402489,A,-65.2135,0.26265777777777777
2805,7013673.0,676.8469351008491,-9.109683247737962,9.109683247737962,32.42413615859394,88.64633477443478,A,-66.932,0.26534888888888886
2806,7016197.0,674.6681069991523,-6.950423335535675,6.950423335535675,32.21251886280185,88.93261646363163,A,-80.1005,0.2681533333333333
