specification,record,subject_id,lead,tau_s,baseline_cv_r2
sta_individualized,s20621,s2062,0,10.0,-0.3094496806369362
sta_individualized,s20621,s2062,1,10.0,-0.1043695397017978
sta_individualized,s20631,s2063,0,10.0,0.5143426875088313
sta_individualized,s20631,s2063,1,10.0,0.2413566845261662
sta_individualized,s20641,s2064,0,60.0,0.4705741044582739
sta_individualized,s20641,s2064,1,30.0,0.4192449231925715
sta_individualized,s20651,s2065,0,10.0,-0.5452071507878333
sta_individualized,s20651,s2065,1,10.0,-0.074321212350111
sta_individualized,s30661,s3066,0,10.0,-1.0699203999467186
sta_individualized,s30661,s3066,1,10.0,-0.9466410197768432
sta_individualized,s30661,s3066,2,10.0,-0.6980107795109558
sta_individualized,s30671,s3067,0,10.0,-0.1994016920144857
sta_individualized,s30671,s3067,1,10.0,-0.2262028959927699
sta_individualized,s30671,s3067,2,10.0,0.1165844377852914
sta_individualized,s30681,s3068,0,30.0,0.3936558387285191
sta_individualized,s30681,s3068,1,20.0,0.2238244808548495
sta_individualized,s30681,s3068,2,10.0,0.2274967540228912
sta_individualized,s30691,s3069,0,30.0,0.2108130229879428
sta_individualized,s30691,s3069,1,45.0,-0.1530597366752666
sta_individualized,s30691,s3069,2,30.0,0.2268825797041637
sta_individualized,s30701,s3070,0,10.0,0.6631916649858852
sta_individualized,s30701,s3070,1,45.0,0.5711471019486809
sta_individualized,s30701,s3070,2,45.0,0.6388483123444576
sta_individualized,s30711,s3071,0,150.0,-0.0158172040366457
sta_individualized,s30711,s3071,1,20.0,0.1613087717647076
sta_individualized,s30711,s3071,2,60.0,0.0903956544151714
sta_individualized,s30721,s3072,0,30.0,-0.2814092938743889
sta_individualized,s30721,s3072,1,30.0,-0.199162160254075
sta_individualized,s30721,s3072,2,90.0,-0.5327002278696181
sta_individualized,s30731,s3073,1,10.0,0.5766731278390047
sta_individualized,s30731,s3073,2,10.0,0.5251679152448357
sta_individualized,s30732,s3073,1,30.0,0.4052711478402109
sta_individualized,s30732,s3073,2,30.0,0.2490771507700624
sta_individualized,s30741,s3074,0,10.0,0.2636830097862147
sta_individualized,s30741,s3074,1,10.0,0.3976087256550231
sta_individualized,s30741,s3074,2,15.0,0.2355750540403466
sta_individualized,s30742,s3074,0,10.0,0.2180681826517641
sta_individualized,s30742,s3074,1,10.0,0.2564159331074886
sta_individualized,s30742,s3074,2,10.0,0.2464926741711969
sta_individualized,s30751,s3075,0,60.0,0.4062069857885816
sta_individualized,s30751,s3075,1,60.0,0.0554959716130631
sta_individualized,s30751,s3075,2,60.0,0.1944866400859056
sta_individualized,s30752,s3075,0,120.0,0.168062822456121
sta_individualized,s30761,s3076,1,150.0,0.0941026384974956
sta_individualized,s30761,s3076,2,60.0,-0.0744800367416517
sta_individualized,s30771,s3077,0,300.0,-0.758905926384094
sta_individualized,s30771,s3077,1,300.0,-0.9387595048646278
sta_individualized,s30771,s3077,2,300.0,-1.0789834289138889
sta_individualized,s30781,s3078,0,10.0,-0.5283148879107937
sta_individualized,s30781,s3078,1,10.0,0.1995625092353946
sta_individualized,s30781,s3078,2,30.0,-0.5037506991457066
sta_individualized,s30791,s3079,0,20.0,0.7858057050136233
sta_individualized,s30791,s3079,1,180.0,0.2697732415766413
sta_individualized,s30791,s3079,2,90.0,0.4722516219641825
sta_individualized,s30801,s3080,1,20.0,0.2462869772461994
sta_individualized,s30801,s3080,2,30.0,-0.0118804111607404
stb_expanded_grid,s20011,s2001,0,5.0,0.4993954957157178
stb_expanded_grid,s20011,s2001,1,5.0,0.4684678790884868
stb_expanded_grid,s20021,s2002,0,5.0,-0.1111185988135896
stb_expanded_grid,s20031,s2003,0,5.0,0.0226955910862165
stb_expanded_grid,s20031,s2003,1,5.0,-0.0929680315869702
stb_expanded_grid,s20041,s2004,0,180.0,0.1051512592738342
stb_expanded_grid,s20041,s2004,1,120.0,0.2255988275342877
stb_expanded_grid,s20061,s2006,0,45.0,0.4523842346321592
stb_expanded_grid,s20071,s2007,0,30.0,0.0698170877990782
stb_expanded_grid,s20071,s2007,1,10.0,0.1176783336221998
stb_expanded_grid,s20081,s2008,0,30.0,0.5296355757403384
stb_expanded_grid,s20081,s2008,1,30.0,0.5792923974688001
stb_expanded_grid,s20091,s2009,0,20.0,0.6777689630619106
stb_expanded_grid,s20091,s2009,1,20.0,0.7614583926747931
stb_expanded_grid,s20101,s2010,0,240.0,0.058401561161262
stb_expanded_grid,s20101,s2010,1,240.0,-0.0116247850848453
stb_expanded_grid,s20111,s2011,0,20.0,0.3916977491608002
stb_expanded_grid,s20121,s2012,0,5.0,-0.7167015789107231
stb_expanded_grid,s20131,s2013,0,60.0,0.6426203724063859
stb_expanded_grid,s20141,s2014,0,5.0,0.13812007217866
stb_expanded_grid,s20141,s2014,1,45.0,0.3967840374705204
