source,n,qt_mae_ms,qt_median_ae_ms,qt_bias_ms,qt_rmse_ms,qrs_t_error_covariance_ms2,qrs_t_error_correlation,standardized_error_correlation,calibration_standardized_correlation_used,mean_qt_sigma_independence_ms,mean_qt_sigma_covariance_aware_ms
same_protocol_validation,391,23.890512139595987,18.00543212890625,-3.484944609424952,30.959918535890637,158.99349098112808,0.3805509895232012,0.35367758924393977,0.35367758924393977,33.30794527119361,28.051736486493514
fully_held_out_annotator_1,487,29.517652570344584,21.6976318359375,3.282365677537859,39.17383428759895,1068.5483502912898,0.7182645785883657,0.6981906555831414,0.35367758924393977,33.79976724428616,28.45999116420378
fully_held_out_annotator_2,402,24.77522847189832,20.959991455078125,-7.311746018442942,36.2486416898722,163.34315038802248,0.24912458470666646,0.2546520281534415,0.35367758924393977,33.42451240217057,28.12840927167906
