analysis_id,contrast,analysis_level,model,weighting,outcome,effect_ms,ci_low_ms,ci_high_ms,p_value,independent_subjects,episodes,exposed,reference,observations,cluster_correction
EDB_001,generic_st_episode_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,mean_abs_resid_ms,9.07106459990919,5.3183075964728825,13.581248524269416,9.999000099990002e-05,48,200.0,,,,
EDB_002,generic_st_episode_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,median_abs_resid_ms,10.237594626588217,6.147237028501048,15.193241555914247,9.999000099990002e-05,48,200.0,,,,
EDB_003,generic_st_episode_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,mean_signed_resid_ms,-8.646586242025244,-15.550013571366435,-2.1641111900450936,0.0100989901009899,48,200.0,,,,
EDB_004,generic_st_episode_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,median_signed_resid_ms,-8.54920923137342,-15.98090525439482,-1.5933489664493612,0.0182981701829817,48,200.0,,,,
EDB_005,generic_st_episode_vs_baseline,beat,cluster_robust_wls,unweighted,abs_resid_ms,7.665380870440461,3.786930008926642,11.54383173195428,0.00024025648539509098,48,,ischemic,matched_baseline,186620.0,CR1; t reference with G-1 df
EDB_006,generic_st_episode_vs_baseline,beat,cluster_robust_wls,inverse_qt_variance,abs_resid_ms,7.620792646070966,3.873179166896087,11.368406125245846,0.00016717292070602018,48,,ischemic,matched_baseline,186620.0,CR1; t reference with G-1 df
EDB_007,generic_st_episode_vs_baseline,beat,cluster_robust_wls,unweighted,resid_ms,-5.32663653733204,-12.359838377612276,1.7065653029481958,0.1343087109826013,48,,ischemic,matched_baseline,186620.0,CR1; t reference with G-1 df
EDB_008,generic_st_episode_vs_baseline,beat,cluster_robust_wls,inverse_qt_variance,resid_ms,-5.015360374059053,-12.182716601710572,2.1519958535924655,0.1657949842736231,48,,ischemic,matched_baseline,186620.0,CR1; t reference with G-1 df
