specification,contrast,outcome,effect_ms,ci_low_ms,ci_high_ms,p_value,subjects,episodes,ischemic_subjects,hr_subjects,overlapping_subjects,model
stb_individualized,ischemic_vs_baseline,mean_abs_resid_ms,7.67395318124497,4.615547351021146,10.732359011468795,5.051606756331477e-06,60,1060,,,,
stb_individualized,hr_vs_baseline,mean_abs_resid_ms,4.574870151792797,2.091338445902402,7.058401857683192,0.0008679559365893974,25,218,,,,
stb_individualized,ischemic_vs_hr,mean_abs_resid_ms,4.865524647813505,-0.33996975251890094,10.227340401679886,0.06509674516274186,76,1278,60.0,25.0,9.0,partially_paired_unique_subject_bootstrap
stb_individualized,ischemic_vs_baseline,mean_signed_resid_ms,-3.234800879826598,-7.838488778959284,1.3688870193060874,0.16496660534532134,60,1060,,,,
stb_individualized,hr_vs_baseline,mean_signed_resid_ms,-3.5563612861172493,-7.435340479476943,0.322617907242444,0.07058302909544245,25,218,,,,
stb_individualized,ischemic_vs_hr,mean_signed_resid_ms,-0.4045614686496233,-7.311847018563615,6.458221690561414,0.9093545322733864,76,1278,60.0,25.0,9.0,partially_paired_unique_subject_bootstrap
stc_individualized,ischemic_vs_baseline,mean_abs_resid_ms,8.920098115679833,5.460246973347979,12.379949258011688,3.217650446122843e-06,58,824,,,,
stc_individualized,hr_vs_baseline,mean_abs_resid_ms,5.125311065196219,2.2614111555925764,7.989210974799862,0.0012612691675870794,22,109,,,,
stc_individualized,ischemic_vs_hr,mean_abs_resid_ms,6.35806613339291,0.7193782430985011,12.204067906232865,0.027498625068746563,75,933,58.0,22.0,5.0,partially_paired_unique_subject_bootstrap
stc_individualized,ischemic_vs_baseline,mean_signed_resid_ms,-5.806370509671467,-11.16359373484844,-0.4491472844944937,0.0341609738025748,58,824,,,,
stc_individualized,hr_vs_baseline,mean_signed_resid_ms,-5.491695751891485,-10.73068992218348,-0.2527015815994904,0.04078760034606116,22,109,,,,
stc_individualized,ischemic_vs_hr,mean_signed_resid_ms,-2.211801264040669,-9.888801754356283,5.235436518982333,0.568171591420429,75,933,58.0,22.0,5.0,partially_paired_unique_subject_bootstrap
