analysis_id,contrast,analysis_level,model,weighting,outcome,effect_ms,ci_low_ms,ci_high_ms,p_value,independent_subjects,episodes,ischemic_subjects,hr_subjects,overlapping_subjects,cluster_correction,exposed,reference,observations,multiplicity_family,p_adjusted
LTST_001,ischemic_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,mean_abs_resid_ms,6.961157517987297,2.1691295764449112,11.753185459529682,0.00513711318731124,60,1060.0,,,,,,,,exploratory_or_sensitivity,
LTST_002,ischemic_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,mean_abs_resid_ms,7.673953181244968,5.056371806579607,10.949464664525967,9.999000099990002e-05,60,1060.0,,,,,,,,three_primary_absolute_contrasts,0.0002999700029997001
LTST_003,ischemic_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,median_abs_resid_ms,6.419057064066129,1.506586827251052,11.331527300881206,0.011319155514791615,60,1060.0,,,,,,,,exploratory_or_sensitivity,
LTST_004,ischemic_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,median_abs_resid_ms,7.584260402358639,4.902172545009662,10.904563681660205,9.999000099990002e-05,60,1060.0,,,,,,,,exploratory_or_sensitivity,
LTST_005,ischemic_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,mean_signed_resid_ms,-2.316378374493196,-8.576145365084532,3.9433886160981393,0.4619618642722874,60,1060.0,,,,,,,,exploratory_or_sensitivity,
LTST_006,ischemic_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,mean_signed_resid_ms,-3.234800879826596,-7.781117983241683,1.0930398716871672,0.17418258174182583,60,1060.0,,,,,,,,exploratory_or_sensitivity,
LTST_007,ischemic_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,median_signed_resid_ms,-1.9968298476438757,-8.533453476508964,4.539793781221213,0.5433683954928348,60,1060.0,,,,,,,,exploratory_or_sensitivity,
LTST_008,ischemic_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,median_signed_resid_ms,-4.198960613072367,-8.938367715875579,0.44593282871406403,0.09619038096190381,60,1060.0,,,,,,,,exploratory_or_sensitivity,
LTST_009,hr_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,mean_abs_resid_ms,3.893168448527332,1.3893209227957373,6.3970159742589265,0.003756940812667126,25,218.0,,,,,,,,exploratory_or_sensitivity,
LTST_010,hr_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,mean_abs_resid_ms,4.5748701517927906,2.3409359429472323,6.903593117202446,0.00039996000399960006,25,218.0,,,,,,,,three_primary_absolute_contrasts,0.0005999400059994002
LTST_011,hr_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,median_abs_resid_ms,3.13769761525787,0.9673006734951617,5.308094557020579,0.006450039980101034,25,218.0,,,,,,,,exploratory_or_sensitivity,
LTST_012,hr_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,median_abs_resid_ms,3.3546406309048624,1.3596530322295233,5.364074821191628,0.0021997800219978004,25,218.0,,,,,,,,exploratory_or_sensitivity,
LTST_013,hr_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,mean_signed_resid_ms,-2.3718666797908314,-5.776138129564959,1.032404769983296,0.16335079459548035,25,218.0,,,,,,,,exploratory_or_sensitivity,
LTST_014,hr_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,mean_signed_resid_ms,-3.5563612861172413,-7.384296435861251,-0.14301825074276664,0.060693930606939304,25,218.0,,,,,,,,exploratory_or_sensitivity,
LTST_015,hr_vs_baseline,episode,episode_delta_clustered_by_subject,equal_episode,median_signed_resid_ms,-2.127047741677794,-5.6465489711072685,1.392453487751681,0.22430819760652096,25,218.0,,,,,,,,exploratory_or_sensitivity,
LTST_016,hr_vs_baseline,subject_equal_weight,subject_mean_with_subject_bootstrap,equal_subject,median_signed_resid_ms,-3.364876889294357,-6.951772490024912,-0.03985775891547081,0.0683931606839316,25,218.0,,,,,,,,exploratory_or_sensitivity,
LTST_017,ischemic_vs_hr,episode,episode_ols_clustered_by_subject,equal_episode,mean_abs_resid_ms,5.625357615869832,-2.901555340204804,14.152270571944467,0.19277559653436951,76,1278.0,,,,,,,,exploratory_or_sensitivity,
LTST_018,ischemic_vs_hr,subject_equal_weight,partially_paired_unique_subject_bootstrap,equal_subject_within_label,mean_abs_resid_ms,4.865524647813505,-0.33996975251889044,10.22734040167989,0.06509674516274186,76,,60.0,25.0,9.0,"20,000 unique-subject bootstrap draws; both labels retained",,,,three_primary_absolute_contrasts,0.06509674516274186
