source,method,n,picp_50,picp_68,picp_80,picp_90,picp_95
same_protocol_validation,independence,391,0.5703324808184144,0.7416879795396419,0.8260869565217391,0.9028132992327366,0.9667519181585678
same_protocol_validation,covariance_aware,391,0.5089514066496164,0.649616368286445,0.7749360613810742,0.8593350383631714,0.9053708439897699
fully_held_out_annotator_1,independence,487,0.5051334702258727,0.6817248459958932,0.7720739219712526,0.8521560574948666,0.9055441478439425
fully_held_out_annotator_1,covariance_aware,487,0.4455852156057495,0.5872689938398358,0.7145790554414785,0.784394250513347,0.8521560574948666
fully_held_out_annotator_2,independence,402,0.5522388059701493,0.7412935323383084,0.8432835820895522,0.9203980099502488,0.9527363184079602
fully_held_out_annotator_2,covariance_aware,402,0.47512437810945274,0.6492537313432836,0.7711442786069652,0.8681592039800995,0.9203980099502488
